MachineName,B_11,E_11,I_11,R_11,B_12,E_12,I_12,R_12
Erotogenesis Mystical,0,1,0,0,0,0,1,0
Erotogenesis Mystical,0,1,0,0,0,0,1,0
Espagnole,0,1,0,0,1,0,0,0
Espagnole,0,1,0,0,1,0,0,0
Espagnole Disrelish,1,0,0,0,1,0,0,0
Espagnole Disrelish,1,0,0,0,1,0,0,0
Excalibur,0,0,0,1,0,0,0,1
Excurvature,0,0,0,1,1,0,0,0
Excurvature MULTI,0,0,0,1,0,1,0,0
Fardel,0,0,0,1,1,0,0,0
Fardel,0,0,0,1,1,0,0,0
Felicia,0,0,1,0,0,0,0,1
Felicia,0,0,1,0,0,0,0,1
Felicia,0,0,1,0,0,0,0,1
Felicia,0,0,1,0,0,0,0,1
Felicia,0,0,1,0,0,0,0,1
Flachette,0,0,1,0,1,0,0,0
Flachette,0,0,1,0,1,0,0,0
Flachette,0,0,1,0,1,0,0,0
Flachette,0,0,1,0,1,0,0,0
Flameholder,1,0,0,0,0,0,1,0
Flav Crank,0,0,1,0,0,1,0,0
Flav Forerunner,1,0,0,0,0,0,1,0
Flav Gardening,1,0,0,0,0,0,1,0
Flav Soberer,0,0,0,1,0,0,0,1
Flav Uptown,0,0,0,1,0,0,0,1
Flav Whirlwind,1,0,0,0,0,1,0,0
Flneur,0,1,0,0,0,0,0,1
Flneur,0,1,0,0,0,0,0,1
Flneur,0,1,0,0,0,0,0,1
Friseur,0,0,0,1,1,0,0,0
Gallopade,1,0,0,0,1,0,0,0
Gascogne,1,0,0,0,0,0,1,0
Gascogne,1,0,0,0,0,0,1,0
Gasman,0,0,0,1,1,0,0,0
Gilguy,0,1,0,0,0,1,0,0
Guayule,0,1,0,0,0,1,0,0
Guayule,0,1,0,0,0,1,0,0
Gypsyhood,0,0,1,0,0,0,0,1
Halobacter Ball,0,1,0,0,0,1,0,0
Halobacter Ball,0,1,0,0,0,1,0,0
Halobacter Blast,0,1,0,0,0,0,1,0
Halobacter Blast,0,1,0,0,0,0,1,0
Halobacter Contact,0,0,1,0,1,0,0,0
Halobacter Contact,0,0,1,0,1,0,0,0
Halobacter Gesundheit,0,0,0,1,0,0,0,1
Halobacter Gesundheit,0,0,0,1,0,0,0,1
Halobacter Help,0,1,0,0,0,1,0,0
Halobacter Help,0,1,0,0,0,1,0,0
Halobacter Never,0,1,0,0,0,1,0,0
Halobacter Never,0,1,0,0,0,1,0,0
Halobacter Real,1,0,0,0,0,0,1,0
Halobacter Real,1,0,0,0,0,0,1,0
Halobacter Roger,0,0,1,0,0,0,1,0
Halobacter Roger,0,0,1,0,0,0,1,0
Halobacter Say,1,0,0,0,0,0,1,0
Halobacter Say,1,0,0,0,0,0,1,0
Halobacter Soft,0,0,0,1,0,0,0,1
Halobacter Soft,0,0,0,1,0,0,0,1
Halobacter Steady,0,0,1,0,0,0,1,0
Halobacter Steady,0,0,1,0,0,0,1,0
Helldiver,0,0,1,0,0,1,0,0
Heteroaromatic,0,0,1,0,0,0,0,1
Huascaran Award,0,1,0,0,0,1,0,0
Huascaran Award,0,1,0,0,0,1,0,0
Huascaran Award,0,0,1,0,0,0,1,0
Huascaran Award,0,0,1,0,0,0,1,0
Huascaran Nation,0,1,0,0,0,1,0,0
Huascaran Nation,0,1,0,0,0,1,0,0
Huascaran Nation,0,0,1,0,1,0,0,0
Huascaran Nation,0,0,1,0,1,0,0,0
Huascaran Yesterday,1,0,0,0,0,0,1,0
